Tiempo,Ch1,Ch2
54.945,-18.4,-0.8
55.0,-18.0,-1.2
55.055,-18.4,-1.2
55.11,-18.8,-0.8
55.165,-18.0,-1.2
55.22,-18.4,-1.2
55.275,-18.4,-1.2
55.33,-18.4,-1.2
55.385,-18.4,-1.2
55.44,-18.0,-1.2
55.495000000000005,-18.8,-1.2
55.550000000000004,-18.4,-1.2
55.605000000000004,-18.4,-1.2
55.660000000000004,-18.4,-1.2
55.715,-18.0,-1.2
55.77,-18.0,-1.2
55.825,-18.4,-1.2
55.88,-18.0,-1.2
55.935,-17.6,-1.2
55.99,-17.6,-1.2
56.045,-17.6,-1.2
56.1,-17.6,-1.2
56.155,-17.6,-0.8
56.21,-17.2,-1.2
56.265,-17.2,-1.2
56.32,-17.2,-1.2
56.375,-16.8,-1.2
56.43,-16.8,-1.2
56.485,-16.4,-1.2
